chcollballcontrol                  0x801ADB90
chcolldoors                        0x801E21D0
chconga                            0x801C5860
chcrackarchwall                    0x801E4790
chcrashmat                         0x801E4790
chcrate                            0x801C5860
chcredits                          0x801D4420
chcrusher                          0x80193540
chcrusherboulder                   0x801D4420
chcrystalbaddie                    0x801C5860
chdeflect                          0x801E4790
chdiggerboss                       0x801E56A0
chdiggerbossbattery                0x801C6620
chdiggerbossdeflect                0x801E4790
chdiggerbossdoor                   0x801C6620
chdiggerbossinterior               0x801E4790
chdiggerbossshell                  0x801C5860
chdiggerfly                        0x801E4790
chdiggerground                     0x801C6620
chdiggergroundgen                  0x801C5860
chdingpot                          0x801C5860
chdinoboss                         0x801C0110
chdinocoaster                      0x801C6620
chdinofamilyfx                     0x801BD0D0
chdinofamilymissing                0x801C5860
chdinofamilymother                 0x801D4420
chdinofamilysick                   0x80191C00
chdinofamilysmall                  0x80191C00
chdinofoot                         0x801C5860
chdinoroargrill                    0x801E21D0
chdinoswitches                     0x801BD0D0
chdinotraindoor                    0x801E4790
chdinotraindoorswitch              0x801E4790
chdippy                            0x801D4420
chdodgemcontrol                    0x801ADB90
chdodgemdoors                      0x801C6620
chdoor                             0x801D4420
chdoormake                         0x801BD0D0
chdoubloon                         0x801C6620
chdragonbrothers                   0x801ADB90
chdrawbridgeswitches               0x801C6620
chdrips                            0x801C5860
chdumbwaiterlift                   0x801BD0D0
chdummyjigsaw                      0x801E4790
cheel                              0x801D4420
cheggclockwork                     0x801C5860
cheggfire                          0x801C6620
chegggolden                        0x801C6620
chegggrenade                       0x801C6620
cheggice                           0x801C6620
cheggnormal                        0x801C6620
cheggproximity                     0x801BD0D0
cheggsplode                        0x801C5860
chelectricfence                    0x801C5860
chevilmumbo                        0x801ADB90
chevilspirit                       0x801C0110
chexploder                         0x8019B940
chexplodingchainlinks              0x801E4790
chfactorybattery                   0x8019B940
chfactorybtwmdoor                  0x801C6620
chfactorycrusher                   0x801BD0D0
chfactorydrums                     0x801D4420
chfactoryempspell                  0x801C0110
chfactoryentrydoors                0x801C6620
chfactoryflypad                    0x801C6620
chfactorygoblin                    0x801C6620
chfactoryliftdoor                  0x801E4790
chfactorylight                     0x801BD0D0
chfactorylinkgrill                 0x801C6620
chfactorylobbydoor                 0x801E4790
chfactorymagnet                    0x801C0110
chfactorymaindoor                  0x801C5860
chfactoryposter                    0x801E4790
chfactoryprop                      0x801BD0D0
chfactoryrobot                     0x801C0110
chfactoryroofbits                  0x801BD0D0
chfactorysmoke                     0x801E4790
chfactorysparkroom                 0x801A6800
chfactorystationdoors              0x801E21D0
chfactorytoxiccloud                0x801D4420
chfactorytoxicpools                0x801BD0D0
chfactorytrashbelt                 0x801C5860
chfactorytwinklies                 0x801C0110
chfactoryworkerdirty               0x80191C00
chfactoryworkerwear                0x801C6620
chfaircoin                         0x801E4790
chfaircoinbox                      0x801C6620
chfairgroundworker                 0x801C6620
chfantasyathlete                   0x801C0110
chfantasybounce                    0x801E4790
chfantasycannon                    0x80193540
chfantasydrillfield                0x801BD0D0
chfantasyeyeball                   0x801C0110
chfantasylakebits                  0x801BD0D0
chfantasyonion                     0x801C5860
chfantasysafe                      0x801BD0D0
chfantasysafeswitch                0x801E21D0
chfantasytrashcanbits              0x801C6620
chfirefx                           0x801A6800
chfiregen                          0x8019B940
chfireicestorm                     0x80191C00
chfireimp                          0x801E4790
chfishshootgame                    0x8019B940
chflamer                           0x801BD0D0
chfloater                          0x801C6620
chfloaty                           0x80191C00
chfloorbubbles                     0x801C6620
chflowerbaddie                     0x801BD0D0
chflysaucercrate                   0x80191C00
chflysaucerdoor                    0x801E4790
chfog                              0x801BD0D0
chfoodwarn                         0x801C6620
chfpsgame                          0x801C0110
chfreezy                           0x801C5860
chfriendlystonehead                0x801BD0D0
chfriesstand                       0x80191C00
chgate1doors                       0x801C6620
chghostdoor                        0x801E21D0
chglowbo                           0x801D4420
chgobicommon                       0x801E21D0
chgobihailfire                     0x801C5860
chgobiwitchy                       0x801C6620
chgoldfish                         0x80193540
chgoldsnakehead                    0x801C5860
chgoldstatue                       0x801C5860
chgruntyfireball                   0x801C5860
chgruntyfireballbig                0x801C5860
chhagstraindoor                    0x801E4790
chhagstraindoorswitch              0x801E4790
chhandcart                         0x801ADB90
chheggy                            0x801C0110
chhellterskelter                   0x801C5860
chhellterskeltermouth              0x801C6620
chhillbilly                        0x801BD0D0
chhoney                            0x801A6800
chhoneyb                           0x80191C00
